,Emeas[MeV],Cumul,Spectrum[MeV-1]
0,2.4232119811016952,0.0106912014239783,0.0010991224571013005
1,2.450719252476432,0.0117903238810796,0.0011981973187808002
2,2.4757055665664884,0.0130875960615399,0.0012796159644748
3,2.4978291556236147,0.0143495558100292,0.0013225568632766497
4,2.5263084619386373,0.0157327097880932,0.0014609031355400006
5,2.5559754890299264,0.0172713620811092,0.0015804339195761505
6,2.5854170886982266,0.0188935776272455,0.0016977826434641987
7,2.62020562627162,0.0206669273680376,0.0018558613809722003
8,2.655402619338309,0.0226053003891899,0.002052992037710701
9,2.6884239514053694,0.024772911443459,0.002307218868521999
10,2.7277340335612728,0.0272197381262339,0.0024305507464567003
11,2.77336440614553,0.0296340129363724,0.002551773860358552
12,2.824883256386032,0.032323285846951,0.00279976567579745
13,2.882601997188206,0.0352335442879673,0.0029998504406966477
14,2.946868836889493,0.0383229867283443,0.003243351251573299
15,3.018073492884049,0.0417202467911139,0.0036181246902649497
16,3.094223960696186,0.0455592361088742,0.004097320324438849
17,3.1700350149264307,0.0499148874399916,0.004523105917153103
18,3.2464909170995715,0.0546054479431804,0.0049169324089305515
19,3.32369386535514,0.0597487522578527,0.005491305382824645
20,3.3987427472893224,0.0655880587088297,0.006062873802240097
21,3.474339570081429,0.0718744998623329,0.0065786206788773505
22,3.55161786159335,0.0787453000665844,0.007214144228344356
23,3.630615022035189,0.0863027883190216,0.007963837174964052
24,3.711369283494385,0.0946729744165125,0.008847793075181097
25,3.792861483910712,0.1039983744693838,0.0097673623977214
26,3.8703582046666902,0.1142076992119553,0.010707436847318445
27,3.9428257416165264,0.1254132481640207,0.011851472632525499
28,4.015192476333096,0.1379106444770063,0.012664040221432402
29,4.0921907326233775,0.1507413286068855,0.013242887416012747
30,4.15099395479843,0.1643964193090318,0.014880224150783855
31,4.21041333605903,0.1805017769084532,0.01684822874225815
32,4.264910719139484,0.1980928767935481,0.0186148615593955
33,4.321485842451603,0.2177315000272442,0.020460963678697652
34,4.383695121351286,0.2390148041509434,0.022433217558560856
35,4.440435373024489,0.2625979351443659,0.024454534194453703
36,4.497785107227554,0.2879238725398508,0.026609677993543746
37,4.555875532767586,0.3158172911314534,0.029358819057171748
38,4.614716215925306,0.3466415106541943,0.03178095205478634
39,4.6723178119293785,0.3793791952410261,0.03485123749281921
40,4.73179485780112,0.4163439856398327,0.03961550282802284
41,4.7929075989181,0.4586102008970718,0.04481172741307546
42,4.854809631887128,0.5059674404659836,0.04972872975059997
43,4.917511150681121,0.5580676603982717,0.053967720670770325
44,4.981935703366797,0.6139028818075243,0.057539627070362365
45,5.036599170532479,0.6731469145389964,0.061872405733522706
46,5.101156348769407,0.7376476932745697,0.06931752134309005
47,5.167039519259273,0.8117819572251765,0.0778006270462932
48,5.233773593320216,0.8932489473671561,0.08542519624756223
49,5.301369560661476,0.982632349720301,0.09364166064760793
50,5.36983855292812,1.080532268662372,0.10410338981978501
51,5.4414585267131566,1.190839129359871,0.11413771297657571
52,5.512808589267973,1.3088076946155234,0.12143524354933521
53,5.58400838855512,1.4337096164585414,0.12993003723566743
54,5.656127757483845,1.5686677690868582,0.14162917735812264
55,5.731884512510516,1.7169679711747867,0.15454999923634594
56,5.805913751911706,1.87776776755955,0.1702136852772569
57,5.893516674948237,2.0573953417293005,0.19056487658059207
58,5.9693800200480815,2.2588975207207342,0.21785313104637027
59,6.055268310279728,2.493101603822041,0.22849562336457296
60,6.155671728689061,2.71588876744988,0.23321657163514775
61,6.2589831628212185,2.9595347470923365,0.252495821432108
62,6.375251914056605,3.220880410314096,0.2765238240099801
63,6.507673590712089,3.5125823951122968,0.3082898803706624
64,6.657835299835248,3.837460171055421,0.3311517311581804
65,6.841115387662775,4.174885857428658,0.3156794682011792
66,7.033220741159767,4.468819107457779,0.27867271756045575
67,7.237436389360023,4.732231292549569,0.24678462269987644
68,7.467069104011065,4.962388352857532,0.1926642337247313
69,7.698523996168117,5.117559759999032,0.1313018534603465
70,7.927679658591569,5.224992059778225,0.09336414832802875
71,8.163656410050645,5.304288056655089,0.07198509062740266
72,8.40665728831949,5.368962241033031,0.05661390236657793
73,8.656891374831487,5.417515861388245,0.04357283644503296
74,8.914573974575907,5.456107913923097,0.032552731492363485
75,9.179926801349405,5.482621324372972,0.024670856338406377
76,9.45317816852175,5.505449626599909,0.015706699902797716
77,9.734563185479908,5.514034724178567,0.009069898559198375
78,10.02432395991952,5.523589423718306,0.01243833397085492
79,10.322709806157842,5.538911392120277,0.007660984200985599
80,10.62997745964734,5.538911392120277,0.0
81,10.946391297874554,5.538911392120277,0.0
82,11.27222356783427,5.538911392120277,0.0
83,11.607754620274724,5.538911392120277,0.0057596808461544136
84,11.953273150915392,5.550430753812586,0.007682235121148295
85,12.309076448844957,5.554275862362574,0.0019225542749938818
86,12.675470652313043,5.554275862362574,0.0
87,13.052771012136,5.554275862362574,0.0
88,13.44130216294315,5.554275862362574,0.0
89,13.84139840249714,5.554275862362574,0.0
90,14.253403979328482,5.554275862362574,0.0
91,14.67767338893192,5.554275862362574,0.0
92,15.114571678779418,5.554275862362574,0.0
93,15.56447476241226,5.554275862362574,0.0
94,16.02776974288242,5.554275862362574,0.0
95,16.504855245821545,5.554275862362574,0.0
96,16.996141762424205,5.554275862362574,0.0
97,17.50205200264037,5.554275862362574,0.0
98,18.02302125888105,5.554275862362574,0.0
99,18.559497780550217,5.554275862362574,0.0
100,19.111943159724923,5.554275862362574,0.0
101,19.68083272831574,5.554275862362574,0.0
102,20.266655967049186,5.554275862362574,0.0
103,20.869916926623915,5.554275862362574,0.0
104,21.491134661403123,5.554275862362574,0.0
105,22.13084367601641,5.554275862362574,0.0
106,22.789594385255192,5.554275862362574,0.0
107,23.46795358765741,5.554275862362574,0.0
108,24.1665049531892,5.554275862362574,0.0
109,24.885849525442826,5.554275862362574,0.0
110,25.626606238783165,5.554275862362574,0.0
111,26.38941245088776,5.554275862362574,0.0
112,27.174924491138466,5.554275862362574,0.0
113,27.983818225336567,5.554275862362574,0.0
114,28.816789637227515,5.554275862362574,0.0
115,29.67455542733522,5.554275862362574,0.0
116,30.55785362962142,5.554275862362574,0.0
117,31.46744424650074,5.554275862362574,0.0
118,32.4041099027576,5.554275862362574,0.0
119,33.36865651892778,5.554275862362574,0.0
120,34.361914004723964,5.554275862362574,0.0
121,35.384736973102,5.554275862362574,0.0
122,36.43800547558209,5.554275862362574,0.0
123,37.52262575945761,5.554275862362574,0.0
124,38.63953104754344,5.554275862362574,0.0
125,39.78968234113411,5.554275862362574,0.0
126,40.974069246863024,5.554275862362574,0.0
127,42.193710828174304,5.554275862362574,0.0
128,43.44965648213949,5.554275862362574,0.0
129,44.74298684237375,5.554275862362574,0.0
130,46.07481470882858,5.554275862362574,0.0
131,47.44628600526086,5.554275862362574,0.0
132,48.85858076520184,5.554275862362574,0.0
133,50.31291414727514,5.554275862362574,0.0
134,51.81053748073647,5.554275862362574,0.0
135,53.3527393421352,5.554275862362574,0.0
136,54.94084666402421,5.554275862362574,0.0
137,56.57622587667154,5.554275862362574,0.0
138,58.26028408375653,5.554275862362574,0.0
139,59.99447027306203,5.554275862362574,0.0
140,61.78027656320426,5.554275862362574,0.0
141,63.61923948747284,5.554275862362574,0.0
142,65.51294131588625,5.554275862362574,0.0
143,67.46301141659949,5.554275862362574,0.0
144,69.47112765783571,5.554275862362574,0.0
145,70.62684806995009,5.554275862362574,0.0
